dtxsid,aeid,hitc_clean,active
DTXSID0020022,2387,0.004066707496851393,0.0
DTXSID0020076,2387,0.0,0.0
DTXSID0020105,2387,1.271038491808972e-11,0.0
DTXSID0020107,2387,0.0,0.0
DTXSID0020151,2387,0.0,0.0
DTXSID0020232,2387,,
DTXSID0020286,2387,0.00026750042690732026,0.0
DTXSID0020311,2387,0.0,0.0
DTXSID0020319,2387,0.9584900984171416,1.0
DTXSID0020440,2387,0.0,0.0
DTXSID0020442,2387,0.0,0.0
DTXSID0020446,2387,0.0,0.0
DTXSID0020494,2387,2.7550191897001188e-08,0.0
DTXSID0020498,2387,,
DTXSID0020523,2387,0.0,0.0
DTXSID0020529,2387,,
DTXSID0020573,2387,0.9999999999951904,1.0
DTXSID0020575,2387,0.0,0.0
DTXSID0020604,2387,0.0,0.0
DTXSID0020606,2387,0.0,0.0
DTXSID0020652,2387,0.0,0.0
DTXSID0020654,2387,0.0,0.0
DTXSID0020656,2387,8.480171252067898e-12,0.0
DTXSID0020737,2387,0.16477409799190323,0.0
DTXSID0020814,2387,6.519298662284426e-07,0.0
DTXSID0020862,2387,0.0,0.0
DTXSID0020941,2387,0.0029171652889811374,0.0
DTXSID0020943,2387,0.031822318846658496,0.0
DTXSID0021094,2387,,
DTXSID0021123,2387,4.3390468464143407e-13,0.0
DTXSID0021125,2387,0.9908220950986181,1.0
DTXSID0021175,2387,3.187755483266002e-10,0.0
DTXSID0021206,2387,0.09399110096599538,0.0
DTXSID0021254,2387,0.0,0.0
DTXSID0021256,2387,0.02986617042451578,0.0
DTXSID0021337,2387,0.0,0.0
DTXSID0021385,2387,0.9884395125069066,1.0
DTXSID0021389,2387,,
DTXSID0021414,2387,0.0,0.0
DTXSID0021460,2387,0.9250439092303065,1.0
DTXSID0021464,2387,0.9999944948054266,1.0
DTXSID0021597,2387,0.0,0.0
DTXSID0021759,2387,0.0,0.0
DTXSID0021832,2387,2.5506576418073727e-13,0.0
DTXSID0021834,2387,4.9457289257951e-08,0.0
DTXSID0021836,2387,1.643987045608668e-06,0.0
DTXSID0021888,2387,0.0,0.0
DTXSID0021961,2387,1.052086376692584e-13,0.0
DTXSID0021965,2387,0.0,0.0
DTXSID0021969,2387,0.0,0.0
DTXSID0022014,2387,0.0,0.0
DTXSID0022018,2387,0.0,0.0
DTXSID0022068,2387,1.910309449043583e-14,0.0
DTXSID0022353,2387,0.9989064176837664,1.0
DTXSID0022436,2387,7.699458821350433e-18,0.0
DTXSID0022480,2387,0.0,0.0
DTXSID0022519,2387,,
DTXSID0022777,2387,0.6835706746205864,0.0
DTXSID0022933,2387,0.0,0.0
DTXSID0023113,2387,0.0,0.0
DTXSID0023296,2387,0.016692802627219065,0.0
DTXSID0023581,2387,1.2221230038381323e-12,0.0
DTXSID0023745,2387,0.0,0.0
DTXSID0023826,2387,0.0,0.0
DTXSID0023878,2387,0.009266696035019449,0.0
DTXSID0023901,2387,0.0,0.0
DTXSID0023907,2387,0.0,0.0
DTXSID0023909,2387,0.0,0.0
DTXSID0023951,2387,0.0,0.0
DTXSID0024000,2387,,
DTXSID0024002,2387,,
DTXSID0024052,2387,0.0,0.0
DTXSID0024216,2387,0.0,0.0
DTXSID0024266,2387,0.0,0.0
DTXSID0024553,2387,0.0,0.0
DTXSID0025101,2387,0.013338462723871028,0.0
DTXSID0025234,2387,7.568344809353773e-06,0.0
DTXSID0025363,2387,6.621713706147938e-09,0.0
DTXSID0025523,2387,0.0,0.0
DTXSID0025527,2387,1.0,1.0
DTXSID0025816,2387,0.0,0.0
DTXSID0025864,2387,,
DTXSID0026171,2387,0.0,0.0
DTXSID0026252,2387,0.0,0.0
DTXSID0026258,2387,1.1563579134387593e-05,0.0
DTXSID0026838,2387,1.554814526817684e-05,0.0
DTXSID0026880,2387,0.0,0.0
DTXSID0026915,2387,0.999549993734294,1.0
DTXSID0026967,2387,0.08686387512606546,0.0
DTXSID0027014,2387,0.1292185348594405,0.0
DTXSID0027149,2387,0.0013908222766447578,0.0
DTXSID0027191,2387,0.0,0.0
DTXSID0027195,2387,0.0,0.0
DTXSID0027222,2387,,
DTXSID0027270,2387,0.0,0.0
DTXSID0027640,2387,0.0,0.0
DTXSID0027721,2387,2.0279597598153084e-11,0.0
DTXSID0027852,2387,0.0,0.0
DTXSID0027856,2387,2.071884546329909e-09,0.0
DTXSID0027983,2387,1.178056929923324e-17,0.0
DTXSID0028038,2387,0.9999967925548611,1.0
DTXSID0028666,2387,0.0,0.0
DTXSID0029133,2387,0.0,0.0
DTXSID0029187,2387,4.2065695482987507e-17,0.0
DTXSID0029210,2387,0.0020767267010356146,0.0
DTXSID0029214,2387,1.963492111456982e-14,0.0
DTXSID0029262,2387,,
DTXSID0029559,2387,6.958707792690749e-06,0.0
DTXSID0029761,2387,0.00718193462395802,0.0
DTXSID0029848,2387,0.0,0.0
DTXSID0032316,2387,0.8547845495698949,0.0
DTXSID0032493,2387,,
DTXSID0032497,2387,0.0,0.0
DTXSID0032520,2387,0.0,0.0
DTXSID0032572,2387,1.2377355969880388e-05,0.0
DTXSID0032578,2387,0.9987922958576604,1.0
DTXSID0032601,2387,1.8711162791809106e-06,0.0
DTXSID0032605,2387,0.0,0.0
DTXSID0032651,2387,0.0,0.0
DTXSID0032655,2387,0.999141298673011,1.0
DTXSID0034192,2387,0.9999999999999902,1.0
DTXSID0034223,2387,3.357868341337008e-12,0.0
DTXSID0034227,2387,1.080776239724887e-09,0.0
DTXSID0034229,2387,0.00039626574261466315,0.0
DTXSID0034300,2387,0.0,0.0
DTXSID0034518,2387,8.336678650974924e-10,0.0
