dtxsid,aeid,hitc_clean,active
DTXSID0020446,2003,,
DTXSID0020814,2003,,
DTXSID0021460,2003,,
DTXSID0022353,2003,5.014775637756598e-08,0.0
DTXSID0022436,2003,0.0,0.0
DTXSID0028038,2003,,
DTXSID0032316,2003,,
DTXSID0032520,2003,0.0,0.0
DTXSID0032572,2003,0.0,0.0
DTXSID0032655,2003,1.0071125161856857e-08,0.0
DTXSID0034192,2003,,
DTXSID0047957,2003,,
DTXSID1020221,2003,,
DTXSID1020510,2003,,
DTXSID1020560,2003,0.0,0.0
DTXSID1020770,2003,,
DTXSID1020855,2003,3.3384386165610877e-06,0.0
DTXSID1021322,2003,0.0,0.0
DTXSID1021952,2003,,
DTXSID1022394,2003,,
DTXSID1022396,2003,,
DTXSID1022508,2003,,
DTXSID1023998,2003,0.0,0.0
DTXSID1024259,2003,0.0,0.0
DTXSID1026081,2003,,
DTXSID1027926,2003,,
DTXSID1029170,2003,0.0,0.0
DTXSID1032519,2003,,
DTXSID1032648,2003,,
DTXSID1033664,2003,,
DTXSID1034187,2003,0.0,0.0
DTXSID1038298,2003,0.0,0.0
DTXSID1047310,2003,,
DTXSID2020347,2003,,
DTXSID2020420,2003,,
DTXSID2020426,2003,0.0009845717751692414,0.0
DTXSID2021781,2003,1.62357335531328e-09,0.0
DTXSID2022179,2003,7.834443227644489e-12,0.0
DTXSID2022381,2003,,
DTXSID2022678,2003,,
DTXSID2023270,2003,3.087671676368551e-07,0.0
DTXSID2023569,2003,0.0,0.0
DTXSID2024163,2003,6.930686279706027e-05,0.0
DTXSID2025680,2003,,
DTXSID2032390,2003,,
DTXSID2032398,2003,,
DTXSID2032500,2003,0.0,0.0
DTXSID2037712,2003,0.0,0.0
DTXSID2040363,2003,0.0,0.0
DTXSID2040733,2003,,
DTXSID2045232,2003,0.0,0.0
DTXSID3020122,2003,0.0,0.0
DTXSID3020205,2003,,
DTXSID3020465,2003,,
DTXSID3020625,2003,,
DTXSID3021770,2003,0.0,0.0
DTXSID3021984,2003,0.0001736581011467381,0.0
DTXSID3021986,2003,0.0,0.0
DTXSID3022320,2003,,
DTXSID3022405,2003,,
DTXSID3022409,2003,,
DTXSID3022536,2003,0.0,0.0
DTXSID3024102,2003,,
DTXSID3024104,2003,0.0,0.0
DTXSID3024154,2003,0.0,0.0
DTXSID3024239,2003,,
DTXSID3024289,2003,0.0012899443654220185,0.0
DTXSID3027403,2003,,
DTXSID3031864,2003,0.0,0.0
DTXSID3034165,2003,0.0,0.0
DTXSID3036496,2003,,
DTXSID3037094,2003,,
DTXSID3047425,2003,,
DTXSID3047477,2003,,
DTXSID4020373,2003,,
DTXSID4020375,2003,,
DTXSID4020379,2003,,
DTXSID4020618,2003,,
DTXSID4021395,2003,0.0,0.0
DTXSID4022361,2003,,
DTXSID4022367,2003,,
DTXSID4022446,2003,0.0,0.0
DTXSID4022448,2003,,
DTXSID4022525,2003,0.010555863683593073,0.0
DTXSID4022527,2003,,
DTXSID4024270,2003,0.0,0.0
DTXSID4024276,2003,,
DTXSID4024359,2003,1.0742014637179474e-07,0.0
DTXSID4025082,2003,5.161109852713582e-07,0.0
DTXSID4028880,2003,1.1923099888648713e-06,0.0
DTXSID4032613,2003,0.0,0.0
DTXSID4034497,2003,0.0,0.0
DTXSID4047882,2003,4.37371739678723e-09,0.0
DTXSID5020154,2003,,
DTXSID5020366,2003,0.0,0.0
DTXSID5020576,2003,,
DTXSID5020607,2003,,
DTXSID5021126,2003,0.0,0.0
DTXSID5022308,2003,,
DTXSID5024059,2003,1.0625207713722853e-07,0.0
DTXSID5024211,2003,0.0,0.0
DTXSID5029055,2003,,
DTXSID5031131,2003,0.003967985845227418,0.0
DTXSID5032498,2003,,
DTXSID5032573,2003,0.0,0.0
DTXSID5035957,2003,0.0006198457493569111,0.0
DTXSID5041306,2003,,
DTXSID5048184,2003,6.59723045416116e-07,0.0
DTXSID5048186,2003,,
DTXSID6020220,2003,,
DTXSID6020307,2003,1.6042833122646786e-06,0.0
DTXSID6022345,2003,,
DTXSID6022391,2003,,
DTXSID6024254,2003,,
DTXSID6027345,2003,0.0,0.0
DTXSID6028022,2003,,
DTXSID6032352,2003,,
DTXSID6032562,2003,0.020475396415782294,0.0
DTXSID6034186,2003,0.0,0.0
DTXSID6040747,2003,2.3881296950568947e-08,0.0
DTXSID6041422,2003,,
DTXSID6043915,2003,,
DTXSID7020182,2003,,
DTXSID7020392,2003,0.0,0.0
DTXSID7020768,2003,,
DTXSID7020970,2003,,
DTXSID7021152,2003,0.0,0.0
DTXSID7022332,2003,0.0,0.0
DTXSID7024245,2003,0.0,0.0
DTXSID7025429,2003,,
DTXSID7027047,2003,0.0,0.0
DTXSID7027756,2003,0.0,0.0
DTXSID7029611,2003,,
DTXSID7032004,2003,,
DTXSID7032553,2003,4.944374642334406e-05,0.0
DTXSID7032638,2003,0.0,0.0
DTXSID7034545,2003,0.0,0.0
DTXSID7034674,2003,0.0,0.0
DTXSID7037717,2003,0.9999778376599326,1.0
DTXSID7041544,2003,0.0,0.0
DTXSID7041889,2003,,
DTXSID7047433,2003,0.0,0.0
DTXSID8020337,2003,0.0,0.0
DTXSID8020620,2003,,
DTXSID8021771,2003,0.6423050073335976,0.0
DTXSID8022080,2003,,
DTXSID8022111,2003,,
DTXSID8022292,2003,0.005633357596823034,0.0
DTXSID8022325,2003,0.0,0.0
DTXSID8022406,2003,,
DTXSID8023216,2003,0.0,0.0
DTXSID8023719,2003,0.0,0.0
DTXSID8023848,2003,4.303776809544291e-08,0.0
DTXSID8024151,2003,0.0,0.0
DTXSID8024238,2003,0.0,0.0
DTXSID8024280,2003,,
DTXSID8024523,2003,0.0,0.0
DTXSID8031865,2003,7.659023132792926e-19,0.0
DTXSID8032386,2003,0.0,0.0
DTXSID8033562,2003,,
DTXSID8034324,2003,0.0,0.0
DTXSID8041248,2003,0.0,0.0
DTXSID8044836,2003,,
DTXSID9020160,2003,2.3901071425084133e-13,0.0
DTXSID9020299,2003,0.0,0.0
DTXSID9020372,2003,,
DTXSID9020374,2003,2.8334403552125348e-06,0.0
DTXSID9020827,2003,0.0,0.0
DTXSID9022310,2003,0.0,0.0
DTXSID9022360,2003,,
DTXSID9022364,2003,0.0,0.0
DTXSID9022366,2003,0.0,0.0
DTXSID9023380,2003,0.03372052006053693,0.0
DTXSID9024986,2003,,
DTXSID9026261,2003,0.0,0.0
DTXSID9026265,2003,3.5632402097638628e-09,0.0
DTXSID9032113,2003,0.0,0.0
DTXSID9032379,2003,1.0707744300264579e-05,0.0
DTXSID9032531,2003,,
DTXSID9032589,2003,2.458938215653232e-05,0.0
DTXSID9033923,2003,,
DTXSID9036515,2003,,
DTXSID9040716,2003,0.0,0.0
DTXSID9041653,2003,7.935518297010634e-12,0.0
DTXSID9047540,2003,,
DTXSID9047592,2003,0.2095248207047889,0.0
DTXSID9047598,2003,,
DTXSID9048196,2003,0.0,0.0
