dtxsid,aeid,hitc_clean,active
DTXSID0020652,3105,1.5991688997392438e-06,0.0
DTXSID1021952,3105,0.0,0.0
DTXSID1040619,3105,,
DTXSID1040661,3105,0.0,0.0
DTXSID2023569,3105,6.4072646878874734e-09,0.0
DTXSID2029874,3105,9.196220932515664e-05,0.0
DTXSID2040733,3105,,
DTXSID3021986,3105,0.0,0.0
DTXSID3029869,3105,,
DTXSID3034402,3105,,
DTXSID3037709,3105,0.0,0.0
DTXSID3047429,3105,1.0,1.0
DTXSID4020290,3105,0.0,0.0
DTXSID4021185,3105,0.0004814119937116589,0.0
DTXSID8020331,3105,0.0,0.0
DTXSID8023719,3105,0.0,0.0
DTXSID8031865,3105,,
DTXSID9023752,3105,0.0,0.0
DTXSID90977813,3105,0.0,0.0
