dtxsid,smiles
DTXSID0021254,C=CCC1=CC=C2OCOC2=C1
DTXSID0021256,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
DTXSID0021258,O.O.O.Br.CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1
DTXSID0021331,[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO
DTXSID0021333,CN(C)C(=S)SC(=S)N(C)C
DTXSID0021335,CN(C)CCN(CC1=CSC=C1)C1=NC=CC=C1
DTXSID0021339,S=P(N1CC1)(N1CC1)N1CC1
DTXSID0021337,N1C2=C(C=CC=C2)N=C1C1=CSC=N1
DTXSID0021381,CC(Cl)(Cl)Cl
DTXSID0021383,ClC=C(Cl)Cl
DTXSID0021385,ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O
DTXSID0021387,CC(OC1=C(Cl)C=C(Cl)C(Cl)=C1)C(O)=O
DTXSID0021389,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
DTXSID0021410,O.Cl.CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1
DTXSID0021414,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
DTXSID0021418,NC(CC1=CNC2=CC=CC=C12)C(O)=O
DTXSID0021460,C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1
DTXSID0021462,[Zn++].CCCCN(CCCC)C([S-])=S.CCCCN(CCCC)C([S-])=S
DTXSID0021464,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S
DTXSID0021543,CCCCCCCCCl
DTXSID0021545,CC(Cl)C(O)=O
DTXSID0021547,CC(=O)CCl
DTXSID0021597,CCCCCCC=O
DTXSID0021620,CC(C)CC#N
DTXSID0021599,CCCCCCC#N
DTXSID0021626,CC(C)C1=CC=C(CO)C=C1
DTXSID0021628,CC(=O)C=O
DTXSID0021672,ClC(Cl)(Cl)C#N
DTXSID0021709,NC(=O)C1=CC=CC=C1
DTXSID0021751,OCC(F)(F)F
DTXSID0021757,OC1(CCCCC1)C#C
DTXSID0021832,CN(C)C1=CC=C(C)C=C1
DTXSID0021759,CC(C)CO
DTXSID0021834,OC1=CC=C(C=C1)[N+]([O-])=O
DTXSID0021836,[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O
DTXSID0021886,CC(C)(C)CC(C)(C)N
DTXSID0021915,CCOC(=O)CCCCCCCCC(=O)OCC
DTXSID0021888,CCCC(C)=O
DTXSID0021963,CCN(CC)C1=CC=C(C=O)C=C1
DTXSID0021961,O=C(C1=CC=CC=C1)C1=CC=CC=C1
DTXSID0021917,CCCCCC
DTXSID0021965,ClC1=CC(Cl)=C(Cl)C=C1
DTXSID0021969,COC1=C(O)C=CC(C=O)=C1
DTXSID0022012,COC1=CC=CC(O)=C1
DTXSID0022010,CCCCCCCC\C=C/CCCCCCCCO
DTXSID0022014,COC1=CC=C(OC)C=C1
DTXSID0022016,C1CN2CCN1CC2
DTXSID0022018,CCOP(=S)(OCC)SCCSCC
DTXSID0022060,[O-][N+](=O)C1=C(C=O)C=CC=C1
DTXSID0022062,CC(C)C(C)=O
DTXSID0022068,CCCCC(C)=O
DTXSID0022191,CC(=C)C(=O)OCC1CCCO1
DTXSID0022193,CC(=C)C(=O)OCC1=CC=CC=C1
DTXSID0022220,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1
DTXSID0022224,[H]N1C(=S)SC2=CC=C(Cl)C=C12
DTXSID0022301,CC(C)C(C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(OC(F)F)C=C1
DTXSID0022305,CC(C)(C)C1=CC=C(C=C)C=C1
DTXSID0022307,"ClCC1=CC=CC=C1.*C=C |c:4,6,t:2,lp:0:3,m:8:5.6.7|"
DTXSID0022353,OC1=C(Cl)C=C(C=C1)C1=CC=CC=C1
DTXSID00223797,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID0022432,C1=CC=C2C(C=CC3=C2C=CC2=CC=CC=C32)=C1
DTXSID0022436,CC(CCC(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
DTXSID0022480,CCC1=CC=CC(O)=C1
DTXSID0022563,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1
DTXSID0022519,NC1=NC(=O)C2=C(N1)N=CC(CNC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2
DTXSID0022565,CC(C)CC1NC(=S)N(CC=C)C1=O
DTXSID0022569,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)CCCC(C)C
DTXSID0022640,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O
DTXSID0022646,CN(C)CCCOC1(CC2=CC=CC=C2)CCCCCC1
DTXSID0022644,CCN(CC)CCOC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
DTXSID0022690,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1
DTXSID0022721,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)(C)O
DTXSID0022692,CC1=NN=C2CN=C(C3=C(SC(Br)=C3)N12)C1=CC=CC=C1Cl
DTXSID0022725,CCOC1=NC2=CC=CC(C(O)=O)=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1
DTXSID0022777,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
