aeid,assay_name
308,BSK_SAg_IL8
310,BSK_SAg_MCP1
312,BSK_SAg_MIG
314,BSK_SAg_PBMCCytotoxicity
316,BSK_SAg_Proliferation
318,BSK_SAg_SRB
319,NVS_ADME_hCYP19A1
321,NVS_ADME_hCYP1A1
323,NVS_ADME_hCYP1A2
325,NVS_ADME_hCYP1B1
327,NVS_ADME_hCYP2A6
329,NVS_ADME_hCYP2B6
331,NVS_ADME_hCYP2C18
333,NVS_ADME_hCYP2C19
335,NVS_ADME_hCYP2C8
337,NVS_ADME_hCYP2C9
339,NVS_ADME_hCYP2D6
341,NVS_ADME_hCYP2E1
343,NVS_ADME_hCYP2J2
345,NVS_ADME_hCYP3A4
347,NVS_ADME_hCYP3A5
349,NVS_ADME_hCYP4F12
351,NVS_ADME_rCYP1A1
353,NVS_ADME_rCYP1A2
355,NVS_ADME_rCYP2A1
357,NVS_ADME_rCYP2A2
359,NVS_ADME_rCYP2B1
361,NVS_ADME_rCYP2C11
363,NVS_ADME_rCYP2C12
365,NVS_ADME_rCYP2C13
367,NVS_ADME_rCYP2C6
369,NVS_ADME_rCYP2D1
371,NVS_ADME_rCYP2D2
373,NVS_ADME_rCYP2E1
375,NVS_ADME_rCYP3A1
377,NVS_ADME_rCYP3A2
379,NVS_ENZ_hAbl
381,NVS_ENZ_hAChE
383,NVS_ENZ_hACP1
385,NVS_ENZ_hAKT1
387,NVS_ENZ_hAKT2
389,NVS_ENZ_hAKT3
391,NVS_ENZ_hAMPKa1
393,NVS_ENZ_hAurA
395,NVS_ENZ_hBACE
397,NVS_ENZ_hBTK
399,NVS_ENZ_hCASP1
401,NVS_ENZ_hCASP10
403,NVS_ENZ_hCASP2
405,NVS_ENZ_hCASP3
407,NVS_ENZ_hCASP4
409,NVS_ENZ_hCASP5
411,NVS_ENZ_hCASP8
413,NVS_ENZ_hCDK2
415,NVS_ENZ_hCDK6
417,NVS_ENZ_hCHK1
419,NVS_ENZ_hCK1a
421,NVS_ENZ_hCK1D
423,NVS_ENZ_hCK2a2b2
425,NVS_ENZ_hCSF1R
427,NVS_ENZ_hDUSP3
429,NVS_ENZ_hEGFR
431,NVS_ENZ_hElastase
433,NVS_ENZ_hEphA1
435,NVS_ENZ_hEphA2
437,NVS_ENZ_hEphB1
439,NVS_ENZ_hEphB2
441,NVS_ENZ_hES
443,NVS_ENZ_hFGFR1
445,NVS_ENZ_hFGFR3
447,NVS_ENZ_hFyn
449,NVS_ENZ_hGSK3b
451,NVS_ENZ_hHDAC3
453,NVS_ENZ_hHDAC6
455,NVS_ENZ_hIGF1R
457,NVS_ENZ_hIKKa
459,NVS_ENZ_hInsR
461,NVS_ENZ_hIRAK4
463,NVS_ENZ_hJak2
465,NVS_ENZ_hJNK2
467,NVS_ENZ_hLck
469,NVS_ENZ_hLynA
471,NVS_ENZ_hLynB
473,NVS_ENZ_hMAPK1
475,NVS_ENZ_hMAPK11
477,NVS_ENZ_hMAPK3
479,NVS_ENZ_hMAPKAPK2
481,NVS_ENZ_hMAPKAPK5
483,NVS_ENZ_hMARK1
485,NVS_ENZ_hMet
487,NVS_ENZ_hMMP1
489,NVS_ENZ_hMMP13
491,NVS_ENZ_hMMP2
493,NVS_ENZ_hMMP3
495,NVS_ENZ_hMMP7
497,NVS_ENZ_hMMP9
499,NVS_ENZ_hMsk1
501,NVS_ENZ_hNEK2
503,NVS_ENZ_hPAK2
505,NVS_ENZ_hPAK4
507,NVS_ENZ_hPDE10
509,NVS_ENZ_hPDE4A1
511,NVS_ENZ_hPDE5
513,NVS_ENZ_hPI3Ka
515,NVS_ENZ_hPKA
517,NVS_ENZ_hPKCz
519,NVS_ENZ_hPKD2
521,NVS_ENZ_hPPM1A
523,NVS_ENZ_hPPP1CA
525,NVS_ENZ_hPPP2CA
527,NVS_ENZ_hPTEN
529,NVS_ENZ_hPTPN1
531,NVS_ENZ_hPTPN11
533,NVS_ENZ_hPTPN12
535,NVS_ENZ_hPTPN13
537,NVS_ENZ_hPTPN14
539,NVS_ENZ_hPTPN2
541,NVS_ENZ_hPTPN4
543,NVS_ENZ_hPTPN6
545,NVS_ENZ_hPTPN9
547,NVS_ENZ_hPTPRB
549,NVS_ENZ_hPTPRC
551,NVS_ENZ_hPTPRF
553,NVS_ENZ_hPTPRM
555,NVS_ENZ_hRAF1
557,NVS_ENZ_hROCK1
559,NVS_ENZ_hSGK1
561,NVS_ENZ_hSIRT1
563,NVS_ENZ_hSIRT2
565,NVS_ENZ_hSIRT3
567,NVS_ENZ_hSRC
569,NVS_ENZ_hSyk
