Key_Position,Total_Attention_Score,Rank
107,2.331707,1
99,2.0319052,2
149,1.7325318,3
93,1.5169683,4
100,1.5073345,5
163,1.3621694,6
121,1.347955,7
162,1.3436505,8
161,1.3400953,9
122,1.3289919,10
98,1.3213183,11
87,1.3012911,12
145,1.2976998,13
142,1.2869567,14
155,1.2822438,15
137,1.2243298,16
86,1.2122188,17
46,1.1622751,18
65,1.1432014,19
85,1.1384923,20
