Key_Position,Total_Attention_Score,Rank
566,12.444189,1
18,6.550797,2
285,6.103833,3
19,5.779178,4
393,5.468585,5
351,5.3955193,6
14,4.4283257,7
283,4.3350377,8
352,4.022271,9
308,3.9190605,10
299,3.8943777,11
571,3.791697,12
406,3.7385583,13
366,3.5386715,14
617,3.432175,15
643,3.1820605,16
346,3.1107109,17
344,3.0305188,18
333,2.9180636,19
639,2.73301,20
