Key_Position,Total_Attention_Score,Rank
37,2.3978052,1
127,2.1655085,2
98,1.9682554,3
78,1.7043145,4
119,1.6025012,5
129,1.5843807,6
53,1.5738062,7
154,1.505634,8
120,1.4849887,9
137,1.4742318,10
77,1.467523,11
163,1.4598308,12
149,1.4299253,13
150,1.422146,14
114,1.3906416,15
155,1.385518,16
157,1.3135562,17
141,1.3060036,18
110,1.3033044,19
80,1.2603145,20
