Key_Position,Total_Attention_Score,Rank
99,2.1904595,1
98,1.9474831,2
162,1.8293092,3
110,1.3896977,4
101,1.378613,5
137,1.3365244,6
36,1.3229811,7
163,1.2791547,8
128,1.2771174,9
145,1.2505784,10
119,1.2445135,11
78,1.2228779,12
107,1.2022551,13
93,1.1726599,14
129,1.1610965,15
132,1.1510696,16
100,1.1391003,17
121,1.1220205,18
142,1.0975513,19
117,1.0926716,20
